epoch 1 loss: 0.5506944581866264, elapse time: 5.317067623138428
epoch 2 loss: 0.38096546977758405, elapse time: 4.99643349647522
epoch 3 loss: 0.3398264929652214, elapse time: 4.998368978500366
epoch 4 loss: 0.32087030857801435, elapse time: 4.998240947723389
epoch 5 loss: 0.3099981561303139, elapse time: 5.000394344329834
epoch 6 loss: 0.3025009736418724, elapse time: 5.001301050186157
epoch 7 loss: 0.2988695815205574, elapse time: 5.001398801803589
epoch 8 loss: 0.29153841733932495, elapse time: 5.006885290145874
epoch 9 loss: 0.2865521803498268, elapse time: 5.04849100112915
epoch 10 loss: 0.28484219759702684, elapse time: 5.030311107635498
epoch 11 loss: 0.28161062449216845, elapse time: 5.001143932342529
epoch 12 loss: 0.278456512093544, elapse time: 5.0019519329071045
epoch 13 loss: 0.27716302275657656, elapse time: 4.993500471115112
epoch 14 loss: 0.2729360267519951, elapse time: 5.020367383956909
epoch 15 loss: 0.2710423171520233, elapse time: 5.02123761177063
epoch 16 loss: 0.2692849084734917, elapse time: 5.000597715377808
epoch 17 loss: 0.26863367557525636, elapse time: 5.02994441986084
epoch 18 loss: 0.26663472354412077, elapse time: 5.023203611373901
epoch 19 loss: 0.2675315052270889, elapse time: 5.013746500015259
epoch 20 loss: 0.2641942799091339, elapse time: 5.0286431312561035
epoch 21 loss: 0.2628053270280361, elapse time: 5.006341218948364
epoch 22 loss: 0.2625990241765976, elapse time: 5.021208763122559
epoch 23 loss: 0.260206438601017, elapse time: 5.007555246353149
epoch 24 loss: 0.2568894661962986, elapse time: 5.0048675537109375
epoch 25 loss: 0.2564473286271095, elapse time: 5.007805585861206
epoch 26 loss: 0.2568231798708439, elapse time: 5.011529207229614
epoch 27 loss: 0.2549875438213348, elapse time: 5.015015363693237
epoch 28 loss: 0.2521860457956791, elapse time: 5.0197741985321045
epoch 29 loss: 0.25166831761598585, elapse time: 5.021782398223877
epoch 30 loss: 0.25049505904316904, elapse time: 5.024625062942505
epoch 31 loss: 0.2496340423822403, elapse time: 5.032413005828857
epoch 32 loss: 0.2502587378025055, elapse time: 5.004579782485962
epoch 33 loss: 0.2478308118879795, elapse time: 5.02048134803772
epoch 34 loss: 0.2454232767224312, elapse time: 5.042699098587036
epoch 35 loss: 0.2452382281422615, elapse time: 5.010373592376709
epoch 36 loss: 0.2460220769047737, elapse time: 5.017754554748535
epoch 37 loss: 0.2455543451011181, elapse time: 5.027053356170654
epoch 38 loss: 0.24043983817100525, elapse time: 5.030620813369751
epoch 39 loss: 0.24399864226579665, elapse time: 5.0288660526275635
epoch 40 loss: 0.24348361492156984, elapse time: 5.020597696304321
epoch 41 loss: 0.2425847701728344, elapse time: 5.029072284698486
epoch 42 loss: 0.23918669745326043, elapse time: 5.019638776779175
epoch 43 loss: 0.2357745498418808, elapse time: 5.043288946151733
epoch 44 loss: 0.23949474841356277, elapse time: 5.043268442153931
epoch 45 loss: 0.23873552531003953, elapse time: 5.01813530921936
epoch 46 loss: 0.23412396684288977, elapse time: 5.011974811553955
epoch 47 loss: 0.23159880042076111, elapse time: 5.020156145095825
epoch 48 loss: 0.23461616337299346, elapse time: 5.026997327804565
epoch 49 loss: 0.23659682124853135, elapse time: 5.032116889953613
epoch 50 loss: 0.23290537744760514, elapse time: 5.029065132141113
epoch 51 loss: 0.23590844720602036, elapse time: 5.016783237457275
epoch 52 loss: 0.23060044273734093, elapse time: 5.018905162811279
epoch 53 loss: 0.22972498089075089, elapse time: 5.0245490074157715
epoch 54 loss: 0.22817235812544823, elapse time: 5.021532773971558
epoch 55 loss: 0.2291305124759674, elapse time: 5.031556844711304
epoch 56 loss: 0.23013276979327202, elapse time: 5.02808952331543
epoch 57 loss: 0.23111445978283882, elapse time: 5.02098536491394
epoch 58 loss: 0.2257070943713188, elapse time: 5.028388738632202
epoch 59 loss: 0.22350537553429603, elapse time: 5.03637170791626
epoch 60 loss: 0.22742101326584815, elapse time: 5.0502543449401855
epoch 61 loss: 0.22487636357545854, elapse time: 5.021800994873047
epoch 62 loss: 0.23140282556414604, elapse time: 5.016885042190552
epoch 63 loss: 0.23298459872603416, elapse time: 5.024238109588623
epoch 64 loss: 0.2270885117352009, elapse time: 5.026658773422241
epoch 65 loss: 0.22151953727006912, elapse time: 5.026731729507446
epoch 66 loss: 0.22497754991054536, elapse time: 5.027824878692627
epoch 67 loss: 0.23061411082744598, elapse time: 5.028898477554321
epoch 68 loss: 0.22457925230264664, elapse time: 5.034619331359863
epoch 69 loss: 0.22024197578430177, elapse time: 5.040700674057007
epoch 70 loss: 0.21598468497395515, elapse time: 5.02994441986084
epoch 71 loss: 0.21972649320960044, elapse time: 5.012486696243286
epoch 72 loss: 0.2215071476995945, elapse time: 5.0174241065979
epoch 73 loss: 0.22218694910407066, elapse time: 5.023033380508423
epoch 74 loss: 0.21884299367666243, elapse time: 5.019269943237305
epoch 75 loss: 0.22433377653360367, elapse time: 5.015421390533447
epoch 76 loss: 0.22719524428248405, elapse time: 5.022637367248535
epoch 77 loss: 0.22030084431171418, elapse time: 5.016340494155884
epoch 78 loss: 0.222400239109993, elapse time: 5.023235082626343
epoch 79 loss: 0.22255846858024597, elapse time: 5.039934396743774
epoch 80 loss: 0.22109941989183426, elapse time: 5.020491123199463
epoch 81 loss: 0.21844062060117722, elapse time: 5.036188840866089
epoch 82 loss: 0.21502128317952157, elapse time: 5.018447399139404
epoch 83 loss: 0.21530745327472686, elapse time: 5.022716999053955
epoch 84 loss: 0.21600040420889854, elapse time: 5.026059150695801
epoch 85 loss: 0.215900819003582, elapse time: 5.023501396179199
epoch 86 loss: 0.21219317987561226, elapse time: 5.025361061096191
epoch 87 loss: 0.22129622399806975, elapse time: 5.036186456680298
epoch 88 loss: 0.2139032118022442, elapse time: 5.024824380874634
epoch 89 loss: 0.21282604858279228, elapse time: 5.019718408584595
epoch 90 loss: 0.21314635127782822, elapse time: 5.0217907428741455
epoch 91 loss: 0.21404786705970763, elapse time: 5.017750263214111
epoch 92 loss: 0.2136119306087494, elapse time: 5.028457880020142
epoch 93 loss: 0.20895471945405006, elapse time: 5.023527145385742
epoch 94 loss: 0.2111701823771, elapse time: 5.022884368896484
epoch 95 loss: 0.21136901155114174, elapse time: 5.038532972335815
epoch 96 loss: 0.21197087466716766, elapse time: 5.018186569213867
epoch 97 loss: 0.21500088423490524, elapse time: 5.023380517959595
epoch 98 loss: 0.21208116486668588, elapse time: 5.036389112472534
epoch 99 loss: 0.20991925448179244, elapse time: 5.032148122787476
epoch 100 loss: 0.20907025262713433, elapse time: 5.0296525955200195
epoch 101 loss: 0.2098231293261051, elapse time: 5.03787899017334
epoch 102 loss: 0.21123487502336502, elapse time: 5.02890157699585
epoch 103 loss: 0.2077558793127537, elapse time: 5.042176246643066
epoch 104 loss: 0.2085090696811676, elapse time: 5.017665863037109
epoch 105 loss: 0.21014252603054046, elapse time: 5.027839422225952
epoch 106 loss: 0.20831093490123748, elapse time: 5.037933588027954
epoch 107 loss: 0.2047199696302414, elapse time: 5.029406785964966
epoch 108 loss: 0.20571865662932395, elapse time: 5.035529136657715
epoch 109 loss: 0.20936321392655372, elapse time: 5.044118165969849
epoch 110 loss: 0.20607747063040732, elapse time: 5.01964807510376
epoch 111 loss: 0.2122611902654171, elapse time: 5.021584749221802
