Epoch,IOU_Train,IOU_Val
0,0.5310,0.5009
1,0.5636,0.5113
2,0.5751,0.5386
3,0.5855,0.5540
4,0.5918,0.4820
5,0.5955,0.4280
6,0.6006,0.4882
7,0.6060,0.4702
8,0.6097,0.4748
9,0.6127,0.5210
10,0.6182,0.1927
11,0.6224,0.5196
12,0.6263,0.5185
13,0.6284,0.4236
14,0.6321,0.5277
15,0.6370,0.4931
16,0.6389,0.5396
17,0.6420,0.4844
18,0.6456,0.4610
19,0.6497,0.4948
20,0.6520,0.4389
21,0.6539,0.5027
22,0.6580,0.4453
23,0.6590,0.5003
24,0.6640,0.4366
25,0.6648,0.2671
26,0.6666,0.4249
27,0.6703,0.5006
28,0.6733,0.4763
29,0.6742,0.2994
30,0.6771,0.4626
31,0.6792,0.4284
32,0.6803,0.3968
33,0.6827,0.3054
34,0.6848,0.4196
35,0.6881,0.2239
36,0.6882,0.3927
37,0.6905,0.4374
38,0.6919,0.4341
39,0.6949,0.3307
40,0.6959,0.4482
41,0.6972,0.4656
42,0.6975,0.4758
43,0.6998,0.2762
44,0.7005,0.4705
45,0.7033,0.3136
46,0.7030,0.2946
47,0.7052,0.3381
48,0.7063,0.3717
49,0.7079,0.3698
50,0.7089,0.3508
51,0.7095,0.4303
52,0.7119,0.3381
53,0.7124,0.3947
54,0.7138,0.2690
55,0.7148,0.2563
56,0.7164,0.3025
57,0.7169,0.3717
58,0.7183,0.3300
59,0.7188,0.2773
60,0.7207,0.4557
61,0.7216,0.3008
62,0.7223,0.4660
63,0.7231,0.2685
64,0.7249,0.4078
65,0.7254,0.3593
66,0.7266,0.4320
67,0.7282,0.4527
68,0.7295,0.3763
69,0.7299,0.2778
70,0.7309,0.4510
71,0.7324,0.3397
72,0.7333,0.1673
73,0.7347,0.2354
74,0.7360,0.3300
75,0.7362,0.1750
76,0.7383,0.2821
77,0.7386,0.2336
78,0.7400,0.3997
79,0.7408,0.2335
80,0.7426,0.4231
81,0.7437,0.3430
82,0.7433,0.3979
