Epoch,Loss,IOU_Train,IOU_Val,Time
0,0.355072,0.5338,0.4864,41.85
1,0.307044,0.5669,0.4518,42.91
2,0.288358,0.5754,0.5332,41.67
3,0.273454,0.5849,0.5458,41.14
4,0.264823,0.5912,0.4844,40.97
5,0.256993,0.5963,0.4647,41.19
6,0.251459,0.6014,0.5015,43.65
7,0.244862,0.6045,0.4805,44.28
8,0.240585,0.6082,0.5330,42.50
9,0.236704,0.6113,0.4959,43.31
10,0.232102,0.6142,0.5471,44.26
11,0.228477,0.6176,0.5291,43.06
12,0.225087,0.6196,0.5455,41.96
13,0.222425,0.6219,0.5221,41.62
14,0.219553,0.6246,0.5402,42.31
15,0.217429,0.6254,0.5286,43.25
16,0.214383,0.6277,0.5254,41.72
17,0.211306,0.6306,0.4694,41.36
18,0.210555,0.6318,0.5523,40.86
19,0.207769,0.6339,0.5402,41.16
20,0.206966,0.6348,0.5026,42.13
21,0.204603,0.6365,0.5358,42.15
22,0.202918,0.6365,0.4689,45.64
23,0.201609,0.6383,0.5481,42.04
24,0.200759,0.6399,0.5212,42.12
25,0.198916,0.6408,0.5617,41.97
26,0.195909,0.6432,0.5413,42.13
27,0.195507,0.6443,0.2823,41.83
28,0.193367,0.6470,0.4048,42.03
29,0.192261,0.6468,0.5343,41.76
30,0.190999,0.6479,0.5334,44.54
31,0.190019,0.6497,0.5365,41.69
32,0.188224,0.6504,0.5073,41.48
33,0.188230,0.6515,0.5331,40.90
34,0.185814,0.6536,0.5495,41.91
35,0.185278,0.6531,0.5040,43.39
36,0.185372,0.6536,0.5406,41.30
37,0.182619,0.6565,0.5018,43.54
38,0.182248,0.6564,0.5038,44.78
39,0.181462,0.6567,0.5279,41.56
40,0.181017,0.6574,0.5529,41.54
41,0.179538,0.6594,0.4310,42.78
42,0.178869,0.6602,0.5446,41.38
43,0.179282,0.6595,0.4483,41.50
44,0.177667,0.6611,0.5513,41.75
45,0.176327,0.6625,0.5237,41.00
46,0.176383,0.6619,0.5151,42.13
47,0.174474,0.6637,0.4995,41.48
48,0.173716,0.6651,0.4922,41.21
49,0.173366,0.6650,0.4873,41.53
50,0.173643,0.6649,0.5261,41.48
51,0.171605,0.6668,0.5396,41.93
52,0.171685,0.6670,0.4449,41.92
53,0.171370,0.6676,0.4192,41.09
54,0.169679,0.6688,0.3841,42.82
55,0.169924,0.6684,0.3913,41.22
56,0.169246,0.6693,0.5522,41.22
57,0.167783,0.6710,0.5548,41.45
58,0.168205,0.6710,0.4581,41.39
59,0.166921,0.6717,0.5368,41.26
60,0.167071,0.6717,0.5529,41.28
61,0.166352,0.6725,0.5283,41.51
62,0.165165,0.6736,0.4886,41.34
63,0.164743,0.6744,0.4860,41.60
64,0.164781,0.6743,0.4872,41.10
65,0.164557,0.6746,0.5473,41.50
66,0.164028,0.6751,0.5299,42.14
67,0.163269,0.6761,0.4395,42.38
68,0.162492,0.6763,0.5513,42.84
69,0.163011,0.6767,0.4910,41.48
70,0.161804,0.6771,0.5383,41.35
71,0.161371,0.6775,0.4872,41.33
72,0.161122,0.6779,0.4919,41.76
73,0.160333,0.6787,0.5077,41.75
74,0.160873,0.6782,0.4096,41.27
75,0.159962,0.6798,0.5361,41.15
76,0.159165,0.6805,0.4728,41.80
77,0.158630,0.6809,0.5517,40.95
78,0.158492,0.6809,0.5391,41.36
79,0.158470,0.6810,0.5483,41.94
80,0.157712,0.6821,0.4189,40.87
81,0.157135,0.6825,0.4399,41.67
82,0.157100,0.6825,0.5341,41.57
