Epoch,IOU_Train,IOU_Val
0,0.5341,0.5432
1,0.5621,0.4662
2,0.5744,0.4706
3,0.5825,0.5207
4,0.5892,0.4942
5,0.5961,0.3940
6,0.6018,0.4151
7,0.6040,0.4576
8,0.6094,0.5185
9,0.6122,0.5544
10,0.6146,0.5251
11,0.6193,0.3297
12,0.6209,0.4569
13,0.6252,0.4749
14,0.6278,0.3648
15,0.6296,0.4626
16,0.6336,0.4489
17,0.6358,0.5544
18,0.6369,0.5473
19,0.6411,0.3786
20,0.6420,0.4767
21,0.6441,0.3548
22,0.6461,0.2326
23,0.6481,0.4926
24,0.6509,0.4252
25,0.6518,0.3351
26,0.6545,0.2874
27,0.6548,0.5496
28,0.6564,0.5233
29,0.6588,0.5393
30,0.6608,0.5255
31,0.6629,0.4013
32,0.6645,0.4334
33,0.6649,0.4875
34,0.6667,0.5368
35,0.6680,0.4842
36,0.6703,0.4320
37,0.6705,0.4467
38,0.6731,0.5371
39,0.6743,0.5122
40,0.6761,0.3267
41,0.6771,0.4838
42,0.6786,0.3404
43,0.6798,0.3773
44,0.6818,0.3046
45,0.6819,0.4340
46,0.6838,0.5213
47,0.6854,0.3623
48,0.6868,0.3766
49,0.6877,0.3879
50,0.6883,0.3800
51,0.6889,0.3962
52,0.6909,0.5318
53,0.6910,0.4696
54,0.6926,0.3583
55,0.6934,0.3941
56,0.6944,0.3148
57,0.6966,0.4410
58,0.6967,0.4827
59,0.6986,0.2716
60,0.7002,0.4332
61,0.6993,0.4671
62,0.7015,0.3116
63,0.7026,0.5149
64,0.7028,0.2815
65,0.7044,0.4776
66,0.7050,0.2176
67,0.7058,0.5020
68,0.7060,0.4941
69,0.7072,0.4353
70,0.7081,0.4079
71,0.7088,0.4529
72,0.7092,0.4639
73,0.7102,0.4235
74,0.7125,0.4519
75,0.7122,0.4396
76,0.7133,0.4407
77,0.7142,0.1760
78,0.7143,0.4406
79,0.7157,0.4015
80,0.7166,0.4601
81,0.7164,0.2698
82,0.7147,0.3637
83,0.7160,0.3828
84,0.7182,0.5007
85,0.7188,0.4357
86,0.7198,0.4579
87,0.7209,0.2749
88,0.7208,0.4247
89,0.7202,0.4671
90,0.7229,0.3342
91,0.7205,0.3464
92,0.7230,0.3823
93,0.7238,0.3943
94,0.7243,0.3453
95,0.7247,0.3546
96,0.7217,0.4058
97,0.7278,0.3955
98,0.7260,0.3379
99,0.7275,0.4083
100,0.7273,0.3968
101,0.7286,0.4177
102,0.7284,0.3779
103,0.7295,0.4447
104,0.7307,0.3370
105,0.7310,0.3228
106,0.7305,0.4566
107,0.7328,0.3315
108,0.7318,0.2177
109,0.7331,0.3150
