Epoch,Loss,IOU_Train,IOU_Val,Time
0,0.354364,0.5341,0.5432,42.34
1,0.309133,0.5621,0.4662,41.61
2,0.288260,0.5744,0.4706,41.65
3,0.273986,0.5825,0.5207,41.69
4,0.264477,0.5892,0.4942,41.78
5,0.255647,0.5961,0.3940,41.81
6,0.248038,0.6018,0.4151,41.85
7,0.244089,0.6040,0.4576,41.88
8,0.237337,0.6094,0.5185,41.72
9,0.232937,0.6122,0.5544,41.68
10,0.229236,0.6146,0.5251,41.74
11,0.224135,0.6193,0.3297,41.80
12,0.220566,0.6209,0.4569,41.69
13,0.215505,0.6252,0.4749,41.73
14,0.213176,0.6278,0.3648,41.75
15,0.210649,0.6296,0.4626,41.74
16,0.206466,0.6336,0.4489,42.66
17,0.203491,0.6358,0.5544,41.81
18,0.201294,0.6369,0.5473,41.82
19,0.197645,0.6411,0.3786,41.81
20,0.196229,0.6420,0.4767,41.81
21,0.193594,0.6441,0.3548,41.83
22,0.191091,0.6461,0.2326,41.81
23,0.188873,0.6481,0.4926,41.82
24,0.186520,0.6509,0.4252,41.83
25,0.184783,0.6518,0.3351,41.83
26,0.182702,0.6545,0.2874,41.84
27,0.180777,0.6548,0.5496,41.78
28,0.179342,0.6564,0.5233,41.79
29,0.178393,0.6588,0.5393,41.81
30,0.174857,0.6608,0.5255,41.80
31,0.173518,0.6629,0.4013,41.79
32,0.171106,0.6645,0.4334,41.84
33,0.171181,0.6649,0.4875,41.85
34,0.168891,0.6667,0.5368,41.93
35,0.167603,0.6680,0.4842,41.79
36,0.166247,0.6703,0.4320,41.79
37,0.165550,0.6705,0.4467,41.74
38,0.163019,0.6731,0.5371,41.80
39,0.162084,0.6743,0.5122,41.73
40,0.159949,0.6761,0.3267,41.71
41,0.159440,0.6771,0.4838,41.79
42,0.158428,0.6786,0.3404,41.70
43,0.156453,0.6798,0.3773,41.69
44,0.154922,0.6818,0.3046,41.69
45,0.155147,0.6819,0.4340,41.69
46,0.152873,0.6838,0.5213,41.75
47,0.151693,0.6854,0.3623,41.72
48,0.150820,0.6868,0.3766,41.70
49,0.149804,0.6877,0.3879,41.69
50,0.149148,0.6883,0.3800,41.71
51,0.148823,0.6889,0.3962,41.72
52,0.147036,0.6909,0.5318,41.75
53,0.146641,0.6910,0.4696,41.75
54,0.145715,0.6926,0.3583,41.77
55,0.144677,0.6934,0.3941,41.72
56,0.143930,0.6944,0.3148,41.74
57,0.142073,0.6966,0.4410,41.72
58,0.141931,0.6967,0.4827,41.73
59,0.140484,0.6986,0.2716,41.73
60,0.139248,0.7002,0.4332,41.73
61,0.139849,0.6993,0.4671,41.75
62,0.138044,0.7015,0.3116,41.72
63,0.137541,0.7026,0.5149,41.69
64,0.136703,0.7028,0.2815,41.70
65,0.135824,0.7044,0.4776,41.73
66,0.135554,0.7050,0.2176,41.73
67,0.134889,0.7058,0.5020,41.70
68,0.134607,0.7060,0.4941,41.71
69,0.133139,0.7072,0.4353,41.70
70,0.133239,0.7081,0.4079,41.69
71,0.132364,0.7088,0.4529,41.68
72,0.132160,0.7092,0.4639,41.69
73,0.131076,0.7102,0.4235,41.74
74,0.129688,0.7125,0.4519,41.70
75,0.129736,0.7122,0.4396,41.71
76,0.128945,0.7133,0.4407,41.70
77,0.128125,0.7142,0.1760,41.90
78,0.128420,0.7143,0.4406,41.75
79,0.127090,0.7157,0.4015,41.76
80,0.126350,0.7166,0.4601,41.73
81,0.126575,0.7164,0.2698,41.69
82,0.128198,0.7147,0.3637,41.71
83,0.126684,0.7160,0.3828,41.68
84,0.125059,0.7182,0.5007,41.70
85,0.125015,0.7188,0.4357,41.73
86,0.124158,0.7198,0.4579,41.73
87,0.123395,0.7209,0.2749,41.77
88,0.123474,0.7208,0.4247,41.76
89,0.123919,0.7202,0.4671,41.75
90,0.121809,0.7229,0.3342,41.77
91,0.123534,0.7205,0.3464,41.69
92,0.122040,0.7230,0.3823,41.74
93,0.121223,0.7238,0.3943,41.72
94,0.120859,0.7243,0.3453,41.69
95,0.120753,0.7247,0.3546,41.69
96,0.123297,0.7217,0.4058,41.69
97,0.118398,0.7278,0.3955,41.70
98,0.119638,0.7260,0.3379,41.69
99,0.118513,0.7275,0.4083,41.69
100,0.118803,0.7273,0.3968,41.69
101,0.117675,0.7286,0.4177,41.71
102,0.118047,0.7284,0.3779,42.30
103,0.117187,0.7295,0.4447,41.75
104,0.116245,0.7307,0.3370,41.74
105,0.116228,0.7310,0.3228,41.74
106,0.116684,0.7305,0.4566,41.79
107,0.115077,0.7328,0.3315,41.80
108,0.115473,0.7318,0.2177,41.80
109,0.114744,0.7331,0.3150,41.79
110,0.114507,0.7335,0.2360,41.69
111,0.113437,0.7352,0.3580,41.70
112,0.113781,0.7347,0.4198,41.70
113,0.113672,0.7349,0.2281,41.69
114,0.113567,0.7350,0.4011,41.70
115,0.112035,0.7371,0.3599,41.68
116,0.112473,0.7364,0.4141,41.69
117,0.111876,0.7372,0.2695,41.69
118,0.110864,0.7390,0.2896,41.81
119,0.111298,0.7384,0.3705,41.73
120,0.110899,0.7391,0.3572,41.73
121,0.110383,0.7400,0.3754,41.84
122,0.110586,0.7393,0.3090,41.66
123,0.110075,0.7402,0.3982,41.77
124,0.110125,0.7404,0.4286,41.72
125,0.108882,0.7420,0.3792,41.85
126,0.109709,0.7408,0.3201,41.76
127,0.108595,0.7427,0.4503,41.75
128,0.108103,0.7431,0.2741,41.77
129,0.109039,0.7418,0.1720,41.83
130,0.107689,0.7440,0.2561,41.76
131,0.107416,0.7445,0.2824,41.76
132,0.106986,0.7452,0.3039,41.79
133,0.106704,0.7453,0.3271,41.74
134,0.107444,0.7442,0.2270,41.76
135,0.106165,0.7461,0.2818,41.76
136,0.105804,0.7468,0.3943,41.75
137,0.105635,0.7474,0.3820,41.74
138,0.105326,0.7476,0.3580,42.00
139,0.105458,0.7474,0.2812,41.80
140,0.105661,0.7470,0.3881,41.69
141,0.104941,0.7483,0.2458,41.77
142,0.104422,0.7492,0.3438,41.71
143,0.104328,0.7492,0.3109,42.98
144,0.104025,0.7497,0.4218,41.78
145,0.104076,0.7498,0.3299,41.91
146,0.103436,0.7508,0.3262,41.70
147,0.103806,0.7501,0.2886,41.69
148,0.102634,0.7519,0.3117,41.71
149,0.103901,0.7503,0.3966,41.69
150,0.102499,0.7523,0.3735,41.70
151,0.102191,0.7528,0.2826,41.79
152,0.101642,0.7536,0.3940,41.76
153,0.101559,0.7536,0.2828,41.74
154,0.103161,0.7520,0.2755,41.80
155,0.100790,0.7550,0.3452,41.75
156,0.100934,0.7548,0.4407,41.75
157,0.100934,0.7550,0.3420,41.77
158,0.101021,0.7549,0.3222,41.78
159,0.100749,0.7556,0.3961,41.76
160,0.099757,0.7567,0.3035,41.74
161,0.100009,0.7565,0.3834,41.85
162,0.100004,0.7567,0.2110,41.71
163,0.099736,0.7572,0.3170,41.71
164,0.099430,0.7578,0.3371,41.71
165,0.099196,0.7580,0.3339,41.71
166,0.100448,0.7565,0.2872,41.70
167,0.097504,0.7608,0.3413,41.69
168,0.098524,0.7593,0.3669,41.70
169,0.098313,0.7600,0.4025,41.70
170,0.098096,0.7600,0.2848,41.71
171,0.097503,0.7609,0.2282,41.76
172,0.097173,0.7617,0.2949,42.10
173,0.097448,0.7610,0.2042,41.76
174,0.096702,0.7624,0.2849,41.76
175,0.097153,0.7616,0.3300,41.76
176,0.096552,0.7627,0.2838,41.73
177,0.096376,0.7629,0.3904,41.87
178,0.096022,0.7636,0.3536,41.76
179,0.096421,0.7630,0.2873,41.73
180,0.095657,0.7644,0.2968,41.96
181,0.095268,0.7648,0.3504,41.75
182,0.095173,0.7650,0.3614,41.70
183,0.095526,0.7648,0.3260,41.72
184,0.094958,0.7657,0.3121,41.70
185,0.094320,0.7665,0.3579,41.70
186,0.094000,0.7674,0.2161,41.70
187,0.094696,0.7657,0.2533,41.69
188,0.093211,0.7686,0.2139,41.69
189,0.093604,0.7679,0.3786,41.70
190,0.093480,0.7683,0.3540,41.69
191,0.093338,0.7686,0.2559,41.77
192,0.093586,0.7680,0.3760,41.80
193,0.092666,0.7695,0.3805,41.71
194,0.092370,0.7704,0.3557,41.70
195,0.093832,0.7681,0.3742,41.69
196,0.091497,0.7718,0.3039,41.70
197,0.091684,0.7721,0.3542,41.75
198,0.092256,0.7712,0.3194,41.79
199,0.091694,0.7719,0.3714,41.69
200,0.091216,0.7726,0.3951,41.70
201,0.090922,0.7731,0.2148,43.05
202,0.090660,0.7736,0.2206,42.08
203,0.091890,0.7718,0.4278,41.76
204,0.090139,0.7745,0.2998,41.78
205,0.089920,0.7752,0.2923,41.79
206,0.089933,0.7751,0.2788,41.87
207,0.090294,0.7747,0.2859,41.70
208,0.089714,0.7754,0.2842,41.68
209,0.089145,0.7766,0.2494,41.66
210,0.089310,0.7764,0.3145,41.83
211,0.088589,0.7775,0.3434,41.74
212,0.088627,0.7779,0.2125,41.92
213,0.088197,0.7785,0.3056,41.75
214,0.087978,0.7788,0.3334,41.76
215,0.088406,0.7782,0.2583,41.74
216,0.088066,0.7788,0.4104,41.74
217,0.087551,0.7798,0.2545,41.72
218,0.087477,0.7799,0.2843,41.72
219,0.087365,0.7804,0.3066,41.70
220,0.087042,0.7807,0.4253,41.78
221,0.086667,0.7817,0.2357,41.80
222,0.086452,0.7820,0.2213,41.79
223,0.085910,0.7829,0.3011,41.77
224,0.086086,0.7824,0.3479,41.76
225,0.085891,0.7830,0.2935,41.86
226,0.086805,0.7814,0.2975,41.71
227,0.084816,0.7849,0.2368,41.70
228,0.085747,0.7833,0.3226,41.71
229,0.084798,0.7851,0.3020,41.89
230,0.084820,0.7851,0.2335,41.75
231,0.084533,0.7857,0.3649,41.75
232,0.084271,0.7863,0.2929,41.79
233,0.084465,0.7862,0.3057,41.83
234,0.083755,0.7872,0.2394,41.74
235,0.083372,0.7882,0.4140,41.78
236,0.083762,0.7875,0.3733,41.75
237,0.083167,0.7887,0.2864,41.81
238,0.083001,0.7886,0.2993,41.73
239,0.082830,0.7891,0.2691,41.75
240,0.082465,0.7899,0.3707,41.74
241,0.082418,0.7900,0.2987,41.76
242,0.082529,0.7898,0.3864,41.74
243,0.082218,0.7904,0.2173,41.75
244,0.081731,0.7914,0.2557,41.75
245,0.081685,0.7917,0.3452,41.75
246,0.081506,0.7920,0.3192,41.75
247,0.081391,0.7922,0.2174,41.77
248,0.081039,0.7926,0.3190,41.74
249,0.080948,0.7930,0.3196,41.74
250,0.080646,0.7937,0.3827,41.75
251,0.080269,0.7942,0.2389,41.73
252,0.080087,0.7949,0.2155,41.74
253,0.080065,0.7949,0.3630,41.74
254,0.079925,0.7952,0.2083,41.75
255,0.080031,0.7949,0.3632,41.78
256,0.079314,0.7965,0.3509,41.74
257,0.079678,0.7957,0.2805,41.74
258,0.079345,0.7963,0.2402,41.73
259,0.078836,0.7974,0.3114,41.74
260,0.080625,0.7941,0.2944,41.94
261,0.077884,0.7993,0.3607,41.75
262,0.078508,0.7981,0.3098,41.75
263,0.078528,0.7982,0.3015,41.75
264,0.078001,0.7991,0.3084,41.77
265,0.078217,0.7988,0.2183,41.76
266,0.077695,0.7998,0.4072,41.77
267,0.077623,0.7999,0.2135,41.75
268,0.077298,0.8004,0.3202,41.75
269,0.077269,0.8007,0.2802,41.75
270,0.076948,0.8013,0.2784,41.73
271,0.076796,0.8015,0.2523,41.76
272,0.076541,0.8020,0.3623,41.76
273,0.076218,0.8024,0.3019,41.77
274,0.076212,0.8027,0.2732,41.76
275,0.077139,0.8009,0.3009,41.77
276,0.075949,0.8035,0.2465,41.78
277,0.076135,0.8030,0.2317,41.76
278,0.075723,0.8036,0.3698,41.78
279,0.075462,0.8042,0.2593,41.79
280,0.075548,0.8042,0.2289,41.81
281,0.075235,0.8047,0.2425,41.79
282,0.075320,0.8048,0.4181,41.79
283,0.074675,0.8059,0.2573,41.81
284,0.074901,0.8054,0.2653,41.76
285,0.074699,0.8059,0.3113,41.75
286,0.074691,0.8060,0.3213,41.76
287,0.074561,0.8064,0.3337,41.76
288,0.074080,0.8072,0.2352,41.88
289,0.074099,0.8072,0.3019,41.72
290,0.073784,0.8080,0.3143,41.77
291,0.073612,0.8082,0.2323,41.74
292,0.073684,0.8082,0.3378,41.75
293,0.073423,0.8086,0.2945,41.74
294,0.073480,0.8085,0.3896,41.77
295,0.073037,0.8095,0.2130,41.75
296,0.072845,0.8096,0.2845,41.75
297,0.072535,0.8105,0.3187,41.75
298,0.072612,0.8103,0.2553,41.71
299,0.072916,0.8099,0.2568,41.70
300,0.072370,0.8107,0.3193,41.91
301,0.072085,0.8117,0.2747,41.75
302,0.072203,0.8112,0.2479,41.75
303,0.072066,0.8116,0.2849,41.74
304,0.071732,0.8122,0.2999,41.76
305,0.071928,0.8119,0.4362,42.99
306,0.071628,0.8126,0.3320,41.74
307,0.071463,0.8127,0.3615,41.70
308,0.071053,0.8136,0.2906,41.94
309,0.070874,0.8140,0.3395,41.76
310,0.071018,0.8140,0.1794,41.80
311,0.070969,0.8141,0.2682,41.85
312,0.070637,0.8147,0.1801,41.69
313,0.070641,0.8146,0.4047,41.69
314,0.070160,0.8157,0.3277,41.70
315,0.070220,0.8157,0.2936,41.70
316,0.070219,0.8158,0.2663,41.71
317,0.070100,0.8156,0.3193,41.69
318,0.069829,0.8163,0.3086,41.75
319,0.069660,0.8169,0.2960,41.75
320,0.069699,0.8168,0.2537,41.77
