epoch 1 loss: 0.7008414969724768, elapse time: 6.058993816375732
epoch 2 loss: 0.4646834327894099, elapse time: 4.438547611236572
epoch 3 loss: 0.381130188703537, elapse time: 4.435579538345337
epoch 4 loss: 0.35327515531988707, elapse time: 4.44059944152832
epoch 5 loss: 0.3374886460164014, elapse time: 4.4407899379730225
epoch 6 loss: 0.32681231814272266, elapse time: 4.440830707550049
epoch 7 loss: 0.3193991640034844, elapse time: 4.435482025146484
epoch 8 loss: 0.3138411220382242, elapse time: 4.437143564224243
epoch 9 loss: 0.3086997866630554, elapse time: 4.4393310546875
epoch 10 loss: 0.30466119156164284, elapse time: 4.442200183868408
epoch 11 loss: 0.30179458505967083, elapse time: 4.432462453842163
epoch 12 loss: 0.30080733579747815, elapse time: 4.445604562759399
epoch 13 loss: 0.2964836253839381, elapse time: 4.479727745056152
epoch 14 loss: 0.29324419884120717, elapse time: 4.457956552505493
epoch 15 loss: 0.291876379181357, elapse time: 4.437013387680054
epoch 16 loss: 0.28935398599680734, elapse time: 4.444460153579712
epoch 17 loss: 0.28700335586772246, elapse time: 4.443286895751953
epoch 18 loss: 0.2858531124451581, elapse time: 4.458678483963013
epoch 19 loss: 0.2838478614302242, elapse time: 4.442312955856323
epoch 20 loss: 0.28214240950696606, elapse time: 4.462114095687866
epoch 21 loss: 0.2812081154655008, elapse time: 4.439956188201904
epoch 22 loss: 0.2802009459804086, elapse time: 4.437617778778076
epoch 23 loss: 0.2789594513528487, elapse time: 4.4571754932403564
epoch 24 loss: 0.2777247411363265, elapse time: 4.443140506744385
epoch 25 loss: 0.2746744366253124, elapse time: 4.436029672622681
epoch 26 loss: 0.27423618120305676, elapse time: 4.4725635051727295
epoch 27 loss: 0.27296984896940346, elapse time: 4.459249973297119
epoch 28 loss: 0.272579617360059, elapse time: 4.447346925735474
epoch 29 loss: 0.27087586942841024, elapse time: 4.465378761291504
epoch 30 loss: 0.26982855796813965, elapse time: 4.4374167919158936
epoch 31 loss: 0.27037769205429973, elapse time: 4.43917989730835
epoch 32 loss: 0.2696484204600839, elapse time: 4.437692880630493
epoch 33 loss: 0.2673170461374171, elapse time: 4.43603777885437
epoch 34 loss: 0.26812398346031413, elapse time: 4.455721139907837
epoch 35 loss: 0.2694176575716804, elapse time: 4.468661785125732
epoch 36 loss: 0.265487155493568, elapse time: 4.453003644943237
epoch 37 loss: 0.26384586621733275, elapse time: 4.444398880004883
epoch 38 loss: 0.26513564498985515, elapse time: 4.4511168003082275
epoch 39 loss: 0.2628999948501587, elapse time: 4.44878888130188
epoch 40 loss: 0.26157191220451803, elapse time: 4.454440593719482
epoch 41 loss: 0.2614193032769596, elapse time: 4.462148427963257
epoch 42 loss: 0.2585154017981361, elapse time: 4.462819576263428
epoch 43 loss: 0.2569002570474849, elapse time: 4.452711820602417
epoch 44 loss: 0.2574069859350429, elapse time: 4.450191259384155
epoch 45 loss: 0.2613002351101707, elapse time: 4.460368871688843
epoch 46 loss: 0.25741276232635274, elapse time: 4.4724321365356445
epoch 47 loss: 0.25507888285552754, elapse time: 4.4584808349609375
epoch 48 loss: 0.25261709444663105, elapse time: 4.450065612792969
epoch 49 loss: 0.2537253253600177, elapse time: 4.447071313858032
epoch 50 loss: 0.25315005551366243, elapse time: 4.474541902542114
epoch 51 loss: 0.2542802936890546, elapse time: 4.4476494789123535
epoch 52 loss: 0.25077689044615803, elapse time: 4.451516389846802
epoch 53 loss: 0.2496667057275772, elapse time: 4.457404375076294
epoch 54 loss: 0.2485793890321956, elapse time: 4.460748195648193
epoch 55 loss: 0.24801123755819657, elapse time: 4.46687126159668
epoch 56 loss: 0.2466800125206218, elapse time: 4.44675350189209
epoch 57 loss: 0.244922218077323, elapse time: 4.502962112426758
epoch 58 loss: 0.24711870270616867, elapse time: 4.446535348892212
epoch 59 loss: 0.2448582228492288, elapse time: 4.4533491134643555
epoch 60 loss: 0.2454096473315183, elapse time: 4.47325587272644
epoch 61 loss: 0.24648377912886002, elapse time: 4.449110984802246
epoch 62 loss: 0.2434451492393718, elapse time: 4.4764556884765625
epoch 63 loss: 0.23877506045734181, elapse time: 4.46445369720459
epoch 64 loss: 0.23986466228961945, elapse time: 4.447080612182617
epoch 65 loss: 0.23972034629653483, elapse time: 4.471222877502441
epoch 66 loss: 0.2425597599324058, elapse time: 4.464712381362915
epoch 67 loss: 0.24324831191231222, elapse time: 4.474453449249268
epoch 68 loss: 0.24113686733386097, elapse time: 4.468771696090698
epoch 69 loss: 0.24005377993864171, elapse time: 4.50175404548645
epoch 70 loss: 0.23737107918542974, elapse time: 4.447251796722412
epoch 71 loss: 0.2348640254315208, elapse time: 4.45446515083313
epoch 72 loss: 0.23437069970018723, elapse time: 4.464703321456909
epoch 73 loss: 0.23718974432524512, elapse time: 4.45612096786499
epoch 74 loss: 0.23774373356033773, elapse time: 4.450704574584961
epoch 75 loss: 0.23806036132223465, elapse time: 4.458489894866943
epoch 76 loss: 0.23704954981803894, elapse time: 4.445973634719849
epoch 77 loss: 0.23588930596323573, elapse time: 4.457231760025024
epoch 78 loss: 0.23436367774710937, elapse time: 4.4717981815338135
epoch 79 loss: 0.23123102416010463, elapse time: 4.491462707519531
epoch 80 loss: 0.23099545871510224, elapse time: 4.451890230178833
epoch 81 loss: 0.23220424354076385, elapse time: 4.455626010894775
epoch 82 loss: 0.2315297494916355, elapse time: 4.456315755844116
